"County
Code",County,Const.,Code,Constituency Name,New Registration,"Transfers of
RC","Changes of
Particular",Deletions,"Suspended
registered",Re
001,MOMBASA,001,,CHANGAMWE,"4,130","1,771",22,,,
001,MOMBASA,002,,JOMVU,"2,862","1,059",13,,,
001,MOMBASA,003,,KISAUNI,"6,125","1,839",24,,,
001,MOMBASA,004,,NYALI,"6,533","2,964",1,,,
001,MOMBASA,005,,LIKONI,"4,552","1,266",38,,,
001,MOMBASA,006,,MVITA,"8,070","2,845",34,,,
002,KWALE,007,,MSAMBWENI,"3,286","1,999",9,,,
002,KWALE,008,,LUNGALUNGA,"2,678","1,369",4,,,
002,KWALE,009,,MATUGA,"3,496",956,2,,,
002,KWALE,010,,KINANGO,"5,054",557,1,,,
003,KILIFI,011,,KILIFI NORTH,"7,157","1,377",10,,,
003,KILIFI,012,,KILIFI SOUTH,"4,629",776,2,,,
003,KILIFI,013,,KALOLENI,"5,061",830,4,,,
003,KILIFI,014,,RABAI,"3,566",671,8,,,
003,KILIFI,015,,GANZE,"3,687",448,3,,,
003,KILIFI,016,,MALINDI,"3,493",760,15,,,
003,KILIFI,017,,MAGARINI,"4,226",77,,,,
004,TANA RIVER,018,,GARSEN,"2,706","1,325",1,,,
004,TANA RIVER,019,,GALOLE,"2,350",767,,,,
004,TANA RIVER,020,,BURA,"2,660","1,728",,,,
005,LAMU,021,,LAMU EAST,618,446,,,,
005,LAMU,022,,LAMU WEST,"2,990","1,449",4,,,
006,TAITA TAVETA,023,,TAVETA,"2,950","1,429",2,,,
006,TAITA TAVETA,024,,WUNDANYI,"1,591",541,9,,,
006,TAITA TAVETA,025,,MWATATE,"2,676",599,4,,,
006,TAITA TAVETA,026,,VOI,"2,318","1,066",16,,,
007,GARISSA,027,,GARISSA TOWNSHIP,"6,376","3,372",26,,,
007,GARISSA,028,,BALAMBALA,"4,503","3,768",,,,
007,GARISSA,029,,LAGDERA,"1,128","1,318",,,,
007,GARISSA,030,,DADAAB,"3,694","1,833",35,,,
007,GARISSA,031,,FAFI,"1,752",531,,,,
007,GARISSA,032,,IJARA,"1,701","2,239",27,,,
008,WAJIR,033,,WAJIR NORTH,"1,364",267,,,,
008,WAJIR,034,,WAJIR EAST,"2,918","3,211",,,,
008,WAJIR,035,,TARBAJ,"1,270","1,376",,,,
008,WAJIR,036,,WAJIR WEST,"1,279","1,547",,,,
008,WAJIR,037,,ELDAS,"1,217",738,1,,,
008,WAJIR,038,,WAJIR SOUTH,"6,011","2,157",5,,,
009,MANDERA,039,,MANDERA WEST,"2,304","5,445",1,,,
009,MANDERA,040,,BANISSA,"1,297","2,959",,,,
009,MANDERA,041,,MANDERA NORTH,"1,088",554,,,,
009,MANDERA,042,,MANDERA SOUTH,"1,385","3,841",8,,,
009,MANDERA,043,,MANDERA EAST,"2,660","1,178",,,,
009,MANDERA,044,,LAFEY,936,"1,862",3,,,
010,MARSABIT,045,,MOYALE,"1,675","2,590",,,,
010,MARSABIT,046,,NORTH HORR,"1,907",289,2,,,
010,MARSABIT,047,,SAKU,"1,141",35,,,,
010,MARSABIT,048,,LAISAMIS,"1,956",301,,,,
011,ISIOLO,049,,ISIOLO NORTH,"3,912","2,606",,,,
011,ISIOLO,050,,ISIOLO SOUTH,671,118,,,,
012,MERU,051,,IGEMBE SOUTH,"3,247",405,,,,
012,MERU,052,,IGEMBE CENTRAL,"3,721",395,,,,
012,MERU,053,,IGEMBE NORTH,"2,642",252,,,,
012,MERU,054,,TIGANIA WEST,"3,217",685,,,,
012,MERU,055,,TIGANIA EAST,"3,184",168,,,,
012,MERU,056,,NORTH IMENTI,"5,489","2,313",5,,,
012,MERU,057,,BUURI,"2,592",397,1,,,
012,MERU,058,,CENTRAL IMENTI,"2,762","1,177",7,,,
012,MERU,059,,SOUTH IMENTI,"3,669",941,23,,,
013,THARAKA  NITHI,060,,MAARA,"1,953",524,2,,,
013,THARAKA  NITHI,061,,CHUKA/IGAMBANG'OMBE,"3,101","1,560",7,,,
013,THARAKA  NITHI,062,,THARAKA,"2,765",759,,,,
014,EMBU,063,,MANYATTA,"4,500","1,169",7,,,
014,EMBU,064,,RUNYENJES,"4,013",838,11,,,
014,EMBU,065,,MBEERE SOUTH,"2,205",607,,,,
014,EMBU,066,,MBEERE NORTH,"1,390",408,9,,,
015,KITUI,067,,MWINGI NORTH,"3,296","1,732",27,,,
015,KITUI,068,,MWINGI WEST,"3,013",516,1,,,
015,KITUI,069,,MWINGI CENTRAL,"4,920",806,4,,,
015,KITUI,070,,KITUI WEST,"2,463","1,476",9,,,1
015,KITUI,071,,KITUI RURAL,"3,599",988,2,,,
015,KITUI,072,,KITUI CENTRAL,"4,435","1,014",,,,
015,KITUI,073,,KITUI EAST,"2,987","1,461",2,,,
015,KITUI,074,,KITUI SOUTH,"3,198",551,,,,
016,MACHAKOS,075,,MASINGA,"2,873",883,4,,,
016,MACHAKOS,076,,YATTA,"3,401","3,062",,,,
016,MACHAKOS,077,,KANGUNDO,"2,939",714,19,,,
016,MACHAKOS,078,,MATUNGULU,"3,832","1,559",15,,,
016,MACHAKOS,079,,KATHIANI,"2,353","1,162",4,,,
016,MACHAKOS,080,,MAVOKO,"5,636","7,467",7,,,
016,MACHAKOS,081,,MACHAKOS TOWN,"5,425","2,458",17,,,
016,MACHAKOS,082,,MWALA,"4,055","1,215",17,,,
017,MAKUENI,083,,MBOONI,"4,230","1,241",26,,,
017,MAKUENI,084,,KILOME,"2,601",363,,,,
017,MAKUENI,085,,KAITI,"3,078",534,4,,,
017,MAKUENI,086,,MAKUENI,"6,517",705,2,,,
017,MAKUENI,087,,KIBWEZI WEST,"4,779",487,,,,
017,MAKUENI,088,,KIBWEZI EAST,"3,437",753,2,,,
018,NYANDARUA,089,,KINANGOP,"3,294","1,396",21,,,
018,NYANDARUA,090,,KIPIPIRI,"1,762","1,051",11,,,
018,NYANDARUA,091,,OL KALOU,"2,340","1,978",12,,,
018,NYANDARUA,092,,OL JOROK,"1,853","1,399",,,,
018,NYANDARUA,093,,NDARAGWA,"1,726","1,543",27,,,
